source,target
IL6_JAK_STAT3_SIGNALING,IL6
INFLAMMATORY_RESPONSE,IL6
COMPLEMENT,IL6
UV_RESPONSE_UP,IL6
HYPOXIA,IRS2
TNFA_SIGNALING_VIA_NFKB,IRS2
GLYCOLYSIS,IRS2
TNFA_SIGNALING_VIA_NFKB,FOSB
UV_RESPONSE_UP,FOSB
TNFA_SIGNALING_VIA_NFKB,BCL6
ADIPOGENESIS,BCL6
MTORC1_SIGNALING,LDLR
UV_RESPONSE_DN,LDLR
TNFA_SIGNALING_VIA_NFKB,LDLR
CHOLESTEROL_HOMEOSTASIS,LDLR
INFLAMMATORY_RESPONSE,LDLR
ALLOGRAFT_REJECTION,CD80
KRAS_SIGNALING_DN,CD80
TNFA_SIGNALING_VIA_NFKB,CD80
KRAS_SIGNALING_UP,GFPT2
TNFA_SIGNALING_VIA_NFKB,GFPT2
ESTROGEN_RESPONSE_LATE,AREG
ESTROGEN_RESPONSE_EARLY,AREG
TNFA_SIGNALING_VIA_NFKB,AREG
EPITHELIAL_MESENCHYMAL_TRANSITION,AREG
TNFA_SIGNALING_VIA_NFKB,NR4A1
UV_RESPONSE_UP,NR4A1
HYPOXIA,TIPARP
ESTROGEN_RESPONSE_EARLY,TIPARP
TNFA_SIGNALING_VIA_NFKB,TIPARP
IL2_STAT5_SIGNALING,GADD45B
MYOGENESIS,GADD45B
TNFA_SIGNALING_VIA_NFKB,GADD45B
EPITHELIAL_MESENCHYMAL_TRANSITION,GADD45B
APOPTOSIS,GADD45B
MTORC1_SIGNALING,BTG2
HEME_METABOLISM,BTG2
KRAS_SIGNALING_DN,BTG2
P53_PATHWAY,BTG2
TNFA_SIGNALING_VIA_NFKB,BTG2
INFLAMMATORY_RESPONSE,BTG2
UV_RESPONSE_UP,BTG2
APOPTOSIS,BTG2
ADIPOGENESIS,CAVIN1
HYPOXIA,CAVIN1
HYPOXIA,ZNF292
GLYCOLYSIS,ZNF292
ESTROGEN_RESPONSE_LATE,CA12
HYPOXIA,CA12
ESTROGEN_RESPONSE_EARLY,CA12
WNT_BETA_CATENIN_SIGNALING,RBPJ
HYPOXIA,RBPJ
HYPOXIA,BRS3
ALLOGRAFT_REJECTION,ETS1
HYPOXIA,ETS1
KRAS_SIGNALING_UP,ETS1
HYPOXIA,LALBA
MTORC1_SIGNALING,HK2
MYC_TARGETS_V2,HK2
IL2_STAT5_SIGNALING,HK2
HYPOXIA,HK2
GLYCOLYSIS,HK2
HYPOXIA,GPC4
GLYCOLYSIS,GPC4
MTORC1_SIGNALING,PGK1
MYC_TARGETS_V1,PGK1
HYPOXIA,PGK1
GLYCOLYSIS,PGK1
XENOBIOTIC_METABOLISM,FBP1
HYPOXIA,FBP1
MTORC1_SIGNALING,P4HA1
IL2_STAT5_SIGNALING,P4HA1
HYPOXIA,P4HA1
GLYCOLYSIS,P4HA1
HYPOXIA,HS3ST1
APICAL_JUNCTION,TGFBI
HYPOXIA,TGFBI
GLYCOLYSIS,TGFBI
EPITHELIAL_MESENCHYMAL_TRANSITION,TGFBI
HEME_METABOLISM,P4HA2
HYPOXIA,P4HA2
GLYCOLYSIS,P4HA2
HYPOXIA,GALK1
GLYCOLYSIS,GALK1
MTORC1_SIGNALING,TES
HYPOXIA,TES
HEME_METABOLISM,BNIP3L
HYPOXIA,BNIP3L
APOPTOSIS,BNIP3L
MTORC1_SIGNALING,SLC37A4
HYPOXIA,SLC37A4
GLYCOLYSIS,SLC37A4
MTORC1_SIGNALING,ENO1
HYPOXIA,ENO1
GLYCOLYSIS,ENO1
MYOGENESIS,PYGM
HYPOXIA,PYGM
HEME_METABOLISM,FOXO3
HYPOXIA,FOXO3
P53_PATHWAY,FOXO3
MTORC1_SIGNALING,SLC2A1
HEME_METABOLISM,SLC2A1
HYPOXIA,SLC2A1
PI3K_AKT_MTOR_SIGNALING,SLC2A1
ESTROGEN_RESPONSE_EARLY,SLC2A1
ALLOGRAFT_REJECTION,EGFR
APICAL_JUNCTION,EGFR
HYPOXIA,EGFR
PROTEIN_SECRETION,EGFR
PI3K_AKT_MTOR_SIGNALING,EGFR
GLYCOLYSIS,EGFR
HYPOXIA,CP
COMPLEMENT,CP
HYPOXIA,GAPDHS
FATTY_ACID_METABOLISM,GAPDHS
SPERMATOGENESIS,GAPDHS
GLYCOLYSIS,GAPDHS
MTORC1_SIGNALING,STC1
ANGIOGENESIS,STC1
HYPOXIA,STC1
GLYCOLYSIS,STC1
HYPOXIA,PKP1
KRAS_SIGNALING_DN,PKP1
HYPOXIA,EXT1
GLYCOLYSIS,EXT1
HYPOXIA,TPST2
INTERFERON_GAMMA_RESPONSE,PIM1
IL2_STAT5_SIGNALING,PIM1
HYPOXIA,PIM1
IL6_JAK_STAT3_SIGNALING,PIM1
COMPLEMENT,PIM1
HYPOXIA,NDST2
HYPOXIA,WSB1
HYPOXIA,CHST3
MTORC1_SIGNALING,DDIT3
HYPOXIA,DDIT3
P53_PATHWAY,DDIT3
PI3K_AKT_MTOR_SIGNALING,DDIT3
APOPTOSIS,DDIT3
APICAL_JUNCTION,SDC3
HYPOXIA,SDC3
GLYCOLYSIS,SDC3
HYPOXIA,ANXA2
UV_RESPONSE_DN,ANXA2
HYPOXIA,ALDOB
GLYCOLYSIS,ALDOB
HYPOXIA,BCAN
OXIDATIVE_PHOSPHORYLATION,LDHA
FATTY_ACID_METABOLISM,LDHA
MTORC1_SIGNALING,LDHA
MYC_TARGETS_V1,LDHA
HYPOXIA,LDHA
GLYCOLYSIS,LDHA
IL2_STAT5_SIGNALING,RRAGD
HYPOXIA,RRAGD
GLYCOLYSIS,RRAGD
IL2_STAT5_SIGNALING,RORA
HYPOXIA,RORA
HYPOXIA,SDC2
UV_RESPONSE_DN,SDC2
GLYCOLYSIS,SDC2
HYPOXIA,SLC2A5
SPERMATOGENESIS,SLC2A5
MTORC1_SIGNALING,HSPA5
UNFOLDED_PROTEIN_RESPONSE,HSPA5
HYPOXIA,HSPA5
COMPLEMENT,HSPA5
GLYCOLYSIS,HSPA5
ADIPOGENESIS,SCARB1
ESTROGEN_RESPONSE_LATE,SCARB1
HYPOXIA,SCARB1
ESTROGEN_RESPONSE_EARLY,SCARB1
HYPOXIA,B3GALT6
GLYCOLYSIS,B3GALT6
ADIPOGENESIS,GBE1
MTORC1_SIGNALING,GBE1
HYPOXIA,GBE1
MYOGENESIS,PPFIA4
HYPOXIA,PPFIA4
GLYCOLYSIS,PPFIA4
XENOBIOTIC_METABOLISM,SLC6A6
MTORC1_SIGNALING,SLC6A6
HYPOXIA,SLC6A6
HYPOXIA,MAP3K1
KRAS_SIGNALING_UP,MAP3K1
HYPOXIA,DCN
GLYCOLYSIS,DCN
EPITHELIAL_MESENCHYMAL_TRANSITION,DCN
APOPTOSIS,DCN
INTERFERON_GAMMA_RESPONSE,ISG20
INTERFERON_ALPHA_RESPONSE,ISG20
HYPOXIA,ISG20
ESTROGEN_RESPONSE_LATE,ISG20
GLYCOLYSIS,ISG20
APOPTOSIS,ISG20
COAGULATION,KLF7
HYPOXIA,KLF7
MTORC1_SIGNALING,GAPDH
HYPOXIA,GAPDH
ADIPOGENESIS,SLC25A1
HYPOXIA,SLC25A1
HYPOXIA,NOCT
HYPOXIA,PFKL
ADIPOGENESIS,PFKL
MTORC1_SIGNALING,PFKL
HYPOXIA,IDS
HEME_METABOLISM,NR3C1
HYPOXIA,NR3C1
UV_RESPONSE_DN,NR3C1
ADIPOGENESIS,ANGPTL4
HYPOXIA,ANGPTL4
KRAS_SIGNALING_UP,ANGPTL4
GLYCOLYSIS,ANGPTL4
HYPOXIA,B4GALNT2
HYPOXIA,GRHPR
FATTY_ACID_METABOLISM,GRHPR
MTORC1_SIGNALING,ALDOA
HYPOXIA,ALDOA
FATTY_ACID_METABOLISM,ALDOA
ADIPOGENESIS,ALDOA
UV_RESPONSE_UP,ALDOA
GLYCOLYSIS,ALDOA
HYPOXIA,SRPX
APICAL_SURFACE,SRPX
IL2_STAT5_SIGNALING,TGM2
HYPOXIA,TGM2
ESTROGEN_RESPONSE_EARLY,TGM2
EPITHELIAL_MESENCHYMAL_TRANSITION,TGM2
MYOGENESIS,DTNA
HYPOXIA,DTNA
ADIPOGENESIS,PLIN2
IL2_STAT5_SIGNALING,PLIN2
HYPOXIA,PLIN2
MTORC1_SIGNALING,CXCR4
HYPOXIA,CXCR4
PI3K_AKT_MTOR_SIGNALING,CXCR4
KRAS_SIGNALING_UP,CXCR4
GLYCOLYSIS,CXCR4
APICAL_JUNCTION,MYH9
MYOGENESIS,MYH9
HYPOXIA,MYH9
MITOTIC_SPINDLE,MYH9
HEDGEHOG_SIGNALING,MYH9
HYPOXIA,MT1E
UV_RESPONSE_DN,MT1E
XENOBIOTIC_METABOLISM,CASP6
HYPOXIA,CASP6
GLYCOLYSIS,CASP6
APOPTOSIS,CASP6
HYPOXIA,HK1
REACTIVE_OXYGEN_SPECIES_PATHWAY,PFKP
INTERFERON_GAMMA_RESPONSE,PFKP
HYPOXIA,PFKP
GLYCOLYSIS,PFKP
HYPOXIA,ATP7A
PROTEIN_SECRETION,ATP7A
HYPOXIA,TKTL1
SPERMATOGENESIS,TKTL1
GLYCOLYSIS,TKTL1
HYPOXIA,HEXA
REACTIVE_OXYGEN_SPECIES_PATHWAY,GLRX
MTORC1_SIGNALING,GLRX
HYPOXIA,GLRX
KRAS_SIGNALING_UP,GLRX
GLYCOLYSIS,GLRX
COAGULATION,PDGFB
HYPOXIA,PDGFB
COMPLEMENT,PDGFB
MYOGENESIS,PGAM2
HYPOXIA,PGAM2
GLYCOLYSIS,PGAM2
HYPOXIA,PGF
HYPOXIA,TMEM45A
HYPOXIA,CSRP2
HEME_METABOLISM,MXI1
HYPOXIA,MXI1
GLYCOLYSIS,MXI1
ESTROGEN_RESPONSE_LATE,SULT2B1
HYPOXIA,SULT2B1
ESTROGEN_RESPONSE_EARLY,SULT2B1
PEROXISOME,SULT2B1
BILE_ACID_METABOLISM,SULT2B1
CHOLESTEROL_HOMEOSTASIS,PDK3
HYPOXIA,PDK3
GLYCOLYSIS,PDK3
HYPOXIA,LXN
HYPOXIA,JMJD6
HYPOXIA,PCK1
ANDROGEN_RESPONSE,AKAP12
HYPOXIA,AKAP12
KRAS_SIGNALING_UP,AKAP12
HYPOXIA,BGN
EPITHELIAL_MESENCHYMAL_TRANSITION,BGN
APOPTOSIS,BGN
MYOGENESIS,GAA
HYPOXIA,GAA
XENOBIOTIC_METABOLISM,MT2A
INTERFERON_GAMMA_RESPONSE,MT2A
HYPOXIA,MT2A
G2M_CHECKPOINT,MT2A
HYPOXIA,VHL
HYPOXIA,NCAN
CHOLESTEROL_HOMEOSTASIS,ERRFI1
HYPOXIA,ERRFI1
ESTROGEN_RESPONSE_LATE,SIAH2
HYPOXIA,SIAH2
ESTROGEN_RESPONSE_EARLY,SIAH2
HYPOXIA,HDLBP
GLYCOLYSIS,HDLBP
HYPOXIA,KIF5A
HYPOXIA,PLAC8
IL2_STAT5_SIGNALING,CDKN1C
HYPOXIA,CDKN1C
TGF_BETA_SIGNALING,CDKN1C
UV_RESPONSE_UP,CDKN1C
ESTROGEN_RESPONSE_LATE,CCN5
HYPOXIA,CCN5
ESTROGEN_RESPONSE_EARLY,CCN5
HYPOXIA,AMPD3
HYPOXIA,CAVIN3
FATTY_ACID_METABOLISM,ENO3
IL2_STAT5_SIGNALING,ENO3
MYOGENESIS,ENO3
HYPOXIA,ENO3
HYPOXIA,STBD1
OXIDATIVE_PHOSPHORYLATION,GPI
MTORC1_SIGNALING,GPI
HYPOXIA,GPI
HYPOXIA,GPC3
INFLAMMATORY_RESPONSE,GPC3
GLYCOLYSIS,GPC3
ESTROGEN_RESPONSE_LATE,TPBG
HYPOXIA,TPBG
ESTROGEN_RESPONSE_EARLY,TPBG
INFLAMMATORY_RESPONSE,TPBG
GLYCOLYSIS,TPBG
ANGIOGENESIS,S100A4
HYPOXIA,S100A4
P53_PATHWAY,S100A4
MTORC1_SIGNALING,AK4
HYPOXIA,AK4
GLYCOLYSIS,AK4
HYPOXIA,PRDX5
PEROXISOME,PRDX5
BILE_ACID_METABOLISM,PRDX5
HYPOXIA,KDM3A
HYPOXIA,LOX
EPITHELIAL_MESENCHYMAL_TRANSITION,LOX
HYPOXIA,MIF
FATTY_ACID_METABOLISM,MIF
GLYCOLYSIS,MIF
FATTY_ACID_METABOLISM,ENO2
HYPOXIA,ENO2
UV_RESPONSE_UP,ENO2
GLYCOLYSIS,ENO2
EPITHELIAL_MESENCHYMAL_TRANSITION,ENO2
APOPTOSIS,ENO2
HYPOXIA,CHST2
INFLAMMATORY_RESPONSE,CHST2
KRAS_SIGNALING_DN,CHST2
GLYCOLYSIS,CHST2
HYPOXIA,PAM
GLYCOLYSIS,PAM
PROTEIN_SECRETION,PAM
HYPOXIA,NEDD4L
PANCREAS_BETA_CELLS,GCK
HYPOXIA,GCK
HYPOXIA,ANKZF1
GLYCOLYSIS,ANKZF1
MTORC1_SIGNALING,PDK1
PI3K_AKT_MTOR_SIGNALING,PDK1
HYPOXIA,PDK1
UNFOLDED_PROTEIN_RESPONSE,KDELR3
HYPOXIA,KDELR3
GLYCOLYSIS,KDELR3
IL2_STAT5_SIGNALING,BCL2
HYPOXIA,BCL2
ESTROGEN_RESPONSE_LATE,BCL2
ESTROGEN_RESPONSE_EARLY,BCL2
ALLOGRAFT_REJECTION,TPD52
ANDROGEN_RESPONSE,TPD52
HYPOXIA,TPD52
PROTEIN_SECRETION,TPD52
MYOGENESIS,PPP1R3C
HYPOXIA,PPP1R3C
HYPOXIA,CDKN1B
G2M_CHECKPOINT,CDKN1B
UV_RESPONSE_DN,CDKN1B
E2F_TARGETS,CDKN1B
PI3K_AKT_MTOR_SIGNALING,CDKN1B
APOPTOSIS,CDKN1B
ADIPOGENESIS,PGM1
MTORC1_SIGNALING,PGM1
HYPOXIA,PGM1
GLYCOLYSIS,LDHC
HYPOXIA,LDHC
SPERMATOGENESIS,LDHC
HYPOXIA,UGP2
GLYCOLYSIS,UGP2
HYPOXIA,PRKCA
UV_RESPONSE_DN,PRKCA
NOTCH_SIGNALING,PRKCA
HYPOXIA,PPARGC1A
NOTCH_SIGNALING,SAP30
HYPOXIA,SAP30
G2M_CHECKPOINT,SAP30
GLYCOLYSIS,SAP30
HYPOXIA,PGM2
GLYCOLYSIS,PGM2
MTORC1_SIGNALING,DDIT4
UNFOLDED_PROTEIN_RESPONSE,DDIT4
HYPOXIA,DDIT4
P53_PATHWAY,DDIT4
GLYCOLYSIS,DDIT4
HYPOXIA,CITED2
UV_RESPONSE_DN,CITED2
GLYCOLYSIS,CITED2
HYPOXIA,FAM162A
P53_PATHWAY,FAM162A
GLYCOLYSIS,FAM162A
HYPOXIA,TGFB3
CHOLESTEROL_HOMEOSTASIS,ALDOC
HYPOXIA,ALDOC
HYPOXIA,SELENBP1
HEME_METABOLISM,SELENBP1
MTORC1_SIGNALING,ERO1A
UNFOLDED_PROTEIN_RESPONSE,ERO1A
HYPOXIA,ERO1A
KRAS_SIGNALING_UP,ERO1A
GLYCOLYSIS,ERO1A
HYPOXIA,XPNPEP1
COMPLEMENT,XPNPEP1
UNFOLDED_PROTEIN_RESPONSE,STC2
MYOGENESIS,STC2
HYPOXIA,STC2
ESTROGEN_RESPONSE_EARLY,STC2
GLYCOLYSIS,STC2
MYOGENESIS,LARGE1
ESTROGEN_RESPONSE_LATE,LARGE1
HYPOXIA,LARGE1
ANDROGEN_RESPONSE,NDRG1
IL2_STAT5_SIGNALING,NDRG1
HYPOXIA,NDRG1
P53_PATHWAY,NDRG1
HEDGEHOG_SIGNALING,VLDLR
MTORC1_SIGNALING,VLDLR
HYPOXIA,VLDLR
UV_RESPONSE_DN,VLDLR
GLYCOLYSIS,VLDLR
HYPOXIA,ILVBL
HYPOXIA,EFNA3
GLYCOLYSIS,EFNA3
XENOBIOTIC_METABOLISM,HMOX1
HYPOXIA,HMOX1
P53_PATHWAY,HMOX1
IL6_JAK_STAT3_SIGNALING,HMOX1
UV_RESPONSE_UP,HMOX1
APOPTOSIS,HMOX1
HYPOXIA,PKLR
PANCREAS_BETA_CELLS,PKLR
APOPTOSIS,CAV1
HYPOXIA,CAV1
UV_RESPONSE_DN,CAV1
ESTROGEN_RESPONSE_LATE,CAV1
HYPOXIA,ADM
INFLAMMATORY_RESPONSE,ADM
HYPOXIA,HOXB9
GLYCOLYSIS,DPYSL4
HYPOXIA,DPYSL4
HYPOXIA,NDST1
HYPOXIA,NAGK
HYPOXIA,PHKG1
HYPOXIA,GYS1
GLYCOLYSIS,GYS1
HYPOXIA,GPC1
GLYCOLYSIS,GPC1
EPITHELIAL_MESENCHYMAL_TRANSITION,GPC1
MTORC1_SIGNALING,TPI1
HYPOXIA,TPI1
GLYCOLYSIS,TPI1
ADIPOGENESIS,CCNG2
HYPOXIA,CCNG2
HYPOXIA,ADORA2B
INFLAMMATORY_RESPONSE,ADORA2B
UV_RESPONSE_DN,ADORA2B
GLYCOLYSIS,ADORA2B
HYPOXIA,CCN2
EPITHELIAL_MESENCHYMAL_TRANSITION,CCN2
HYPOXIA,KLHL24
HYPOXIA,COL5A1
EPITHELIAL_MESENCHYMAL_TRANSITION,COL5A1
GLYCOLYSIS,COL5A1
UNFOLDED_PROTEIN_RESPONSE,IGFBP1
HYPOXIA,IGFBP1
XENOBIOTIC_METABOLISM,IGFBP1
MYOGENESIS,IGFBP3
HYPOXIA,IGFBP3
KRAS_SIGNALING_UP,IGFBP3
GLYCOLYSIS,IGFBP3
EPITHELIAL_MESENCHYMAL_TRANSITION,IGFBP3
HYPOXIA,HAS1
HYPOXIA,INHA
HYPOXIA,EDN2
KRAS_SIGNALING_DN,EDN2
XENOBIOTIC_METABOLISM,GCNT2
HYPOXIA,GCNT2
CHOLESTEROL_HOMEOSTASIS,GSTM2
FATTY_ACID_METABOLISM,FASN
CHOLESTEROL_HOMEOSTASIS,FASN
ESTROGEN_RESPONSE_EARLY,FASN
MTORC1_SIGNALING,EBP
CHOLESTEROL_HOMEOSTASIS,EBP
APOPTOSIS,EBP
ESTROGEN_RESPONSE_LATE,SEMA3B
ESTROGEN_RESPONSE_EARLY,SEMA3B
KRAS_SIGNALING_UP,SEMA3B
CHOLESTEROL_HOMEOSTASIS,SEMA3B
CHOLESTEROL_HOMEOSTASIS,ANXA13
CHOLESTEROL_HOMEOSTASIS,ADH4
MTORC1_SIGNALING,LGMN
CHOLESTEROL_HOMEOSTASIS,LGMN
COAGULATION,LGMN
COMPLEMENT,LGMN
COAGULATION,CLU
MYOGENESIS,CLU
CHOLESTEROL_HOMEOSTASIS,CLU
COMPLEMENT,CLU
APOPTOSIS,CLU
CHOLESTEROL_HOMEOSTASIS,ATF5
G2M_CHECKPOINT,ATF5
MTORC1_SIGNALING,NIBAN1
CHOLESTEROL_HOMEOSTASIS,NIBAN1
CHOLESTEROL_HOMEOSTASIS,FABP5
ESTROGEN_RESPONSE_LATE,FABP5
CHOLESTEROL_HOMEOSTASIS,LGALS3
COMPLEMENT,LGALS3
APOPTOSIS,LGALS3
ANDROGEN_RESPONSE,IDI1
FATTY_ACID_METABOLISM,IDI1
MTORC1_SIGNALING,IDI1
BILE_ACID_METABOLISM,IDI1
CHOLESTEROL_HOMEOSTASIS,IDI1
PEROXISOME,IDI1
MTORC1_SIGNALING,TM7SF2
CHOLESTEROL_HOMEOSTASIS,TM7SF2
CHOLESTEROL_HOMEOSTASIS,FDPS
MYOGENESIS,FDPS
PEROXISOME,FDPS
CHOLESTEROL_HOMEOSTASIS,PMVK
APICAL_JUNCTION,ACTG1
CHOLESTEROL_HOMEOSTASIS,ACTG1
UV_RESPONSE_DN,PPARG
ADIPOGENESIS,PPARG
CHOLESTEROL_HOMEOSTASIS,PPARG
CHOLESTEROL_HOMEOSTASIS,CPEB2
APICAL_JUNCTION,GNAI1
CHOLESTEROL_HOMEOSTASIS,GNAI1
WNT_BETA_CATENIN_SIGNALING,GNAI1
FATTY_ACID_METABOLISM,NSDHL
CHOLESTEROL_HOMEOSTASIS,NSDHL
GLYCOLYSIS,NSDHL
FATTY_ACID_METABOLISM,HSD17B7
CHOLESTEROL_HOMEOSTASIS,HSD17B7
WNT_BETA_CATENIN_SIGNALING,CTNNB1
CHOLESTEROL_HOMEOSTASIS,CTNNB1
APOPTOSIS,CTNNB1
TGF_BETA_SIGNALING,CTNNB1
CHOLESTEROL_HOMEOSTASIS,SREBF2
CHOLESTEROL_HOMEOSTASIS,PCYT2
ANDROGEN_RESPONSE,SCD
MTORC1_SIGNALING,SCD
CHOLESTEROL_HOMEOSTASIS,SCD
MYOGENESIS,SCD
CHOLESTEROL_HOMEOSTASIS,FDFT1
ESTROGEN_RESPONSE_LATE,FDFT1
ESTROGEN_RESPONSE_EARLY,FDFT1
CHOLESTEROL_HOMEOSTASIS,GPX8
BILE_ACID_METABOLISM,ABCA2
CHOLESTEROL_HOMEOSTASIS,ABCA2
MTORC1_SIGNALING,STARD4
CHOLESTEROL_HOMEOSTASIS,STARD4
MTORC1_SIGNALING,TRIB3
CHOLESTEROL_HOMEOSTASIS,TRIB3
PI3K_AKT_MTOR_SIGNALING,TRIB3
P53_PATHWAY,TRIB3
CHOLESTEROL_HOMEOSTASIS,GLDC
CHOLESTEROL_HOMEOSTASIS,STX5
MTORC1_SIGNALING,CYP51A1
CHOLESTEROL_HOMEOSTASIS,CYP51A1
ANDROGEN_RESPONSE,HMGCS1
FATTY_ACID_METABOLISM,HMGCS1
MTORC1_SIGNALING,HMGCS1
CHOLESTEROL_HOMEOSTASIS,HMGCS1
MTORC1_SIGNALING,DHCR7
ADIPOGENESIS,DHCR7
CHOLESTEROL_HOMEOSTASIS,DHCR7
ESTROGEN_RESPONSE_LATE,DHCR7
ESTROGEN_RESPONSE_EARLY,DHCR7
CHOLESTEROL_HOMEOSTASIS,AVPR1A
APOPTOSIS,AVPR1A
IL2_STAT5_SIGNALING,ALCAM
CHOLESTEROL_HOMEOSTASIS,ALCAM
ANDROGEN_RESPONSE,HMGCR
MTORC1_SIGNALING,HMGCR
CHOLESTEROL_HOMEOSTASIS,HMGCR
CHOLESTEROL_HOMEOSTASIS,CBS
APICAL_JUNCTION,MVD
CHOLESTEROL_HOMEOSTASIS,MVD
CHOLESTEROL_HOMEOSTASIS,ETHE1
MTORC1_SIGNALING,SQLE
CHOLESTEROL_HOMEOSTASIS,SQLE
G2M_CHECKPOINT,SQLE
MTORC1_SIGNALING,SC5D
CHOLESTEROL_HOMEOSTASIS,SC5D
APOPTOSIS,SC5D
INTERFERON_GAMMA_RESPONSE,PLSCR1
INTERFERON_ALPHA_RESPONSE,PLSCR1
IL2_STAT5_SIGNALING,PLSCR1
CHOLESTEROL_HOMEOSTASIS,PLSCR1
COMPLEMENT,PLSCR1
CHOLESTEROL_HOMEOSTASIS,CXCL16
CHOLESTEROL_HOMEOSTASIS,LSS
XENOBIOTIC_METABOLISM,TMEM97
MTORC1_SIGNALING,TMEM97
MYC_TARGETS_V2,TMEM97
CHOLESTEROL_HOMEOSTASIS,TMEM97
CHOLESTEROL_HOMEOSTASIS,ANXA5
COMPLEMENT,ANXA5
ADIPOGENESIS,LPL
CHOLESTEROL_HOMEOSTASIS,LPL
ANGIOGENESIS,LPL
CHOLESTEROL_HOMEOSTASIS,ATXN2
CHOLESTEROL_HOMEOSTASIS,FBXO6
CHOLESTEROL_HOMEOSTASIS,ACSS2
MTORC1_SIGNALING,FADS2
BILE_ACID_METABOLISM,FADS2
CHOLESTEROL_HOMEOSTASIS,FADS2
CHOLESTEROL_HOMEOSTASIS,MAL2
FATTY_ACID_METABOLISM,ACAT2
CHOLESTEROL_HOMEOSTASIS,ACAT2
CHOLESTEROL_HOMEOSTASIS,S100A11
CHOLESTEROL_HOMEOSTASIS,TNFRSF12A
EPITHELIAL_MESENCHYMAL_TRANSITION,TNFRSF12A
APOPTOSIS,TNFRSF12A
IL6_JAK_STAT3_SIGNALING,TNFRSF12A
MTORC1_SIGNALING,CD9
CHOLESTEROL_HOMEOSTASIS,CD9
COAGULATION,CD9
ESTROGEN_RESPONSE_LATE,CD9
IL6_JAK_STAT3_SIGNALING,CD9
CHOLESTEROL_HOMEOSTASIS,ANTXR2
OXIDATIVE_PHOSPHORYLATION,ECH1
FATTY_ACID_METABOLISM,ECH1
XENOBIOTIC_METABOLISM,ECH1
ADIPOGENESIS,ECH1
PEROXISOME,ECH1
CHOLESTEROL_HOMEOSTASIS,ECH1
CHOLESTEROL_HOMEOSTASIS,CHKA
UV_RESPONSE_UP,CHKA
CHOLESTEROL_HOMEOSTASIS,MVK
CHOLESTEROL_HOMEOSTASIS,TP53INP1
CHOLESTEROL_HOMEOSTASIS,GUSB
GLYCOLYSIS,GUSB
KRAS_SIGNALING_DN,SYNPO
MITOTIC_SPINDLE,SYNPO
MITOTIC_SPINDLE,NET1
MITOTIC_SPINDLE,CCDC88A
MITOTIC_SPINDLE,KIF3B
MTORC1_SIGNALING,AURKA
G2M_CHECKPOINT,AURKA
MITOTIC_SPINDLE,AURKA
E2F_TARGETS,AURKA
SPERMATOGENESIS,AURKA
GLYCOLYSIS,AURKA
G2M_CHECKPOINT,NUSAP1
MITOTIC_SPINDLE,NUSAP1
G2M_CHECKPOINT,CCNB2
SPERMATOGENESIS,CCNB2
MITOTIC_SPINDLE,CCNB2
E2F_TARGETS,CCNB2
MITOTIC_SPINDLE,EZR
MITOTIC_SPINDLE,ARHGAP27
APICAL_JUNCTION,TSC1
MITOTIC_SPINDLE,TSC1
MTORC1_SIGNALING,TUBA4A
MITOTIC_SPINDLE,TUBA4A
UV_RESPONSE_UP,TUBA4A
IL2_STAT5_SIGNALING,MYO1E
MITOTIC_SPINDLE,MYO1E
MITOTIC_SPINDLE,PXN
MITOTIC_SPINDLE,WASF1
MITOTIC_SPINDLE,ABR
MITOTIC_SPINDLE,ECT2
MITOTIC_SPINDLE,MAP1S
MITOTIC_SPINDLE,DYNLL2
MITOTIC_SPINDLE,MID1
MITOTIC_SPINDLE,SOS1
APICAL_JUNCTION,VCL
MITOTIC_SPINDLE,VCL
MITOTIC_SPINDLE,HDAC6
MITOTIC_SPINDLE,CSNK1D
APICAL_JUNCTION,EPB41L2
MITOTIC_SPINDLE,EPB41L2
MITOTIC_SPINDLE,ATG4B
MITOTIC_SPINDLE,ANLN
INTERFERON_GAMMA_RESPONSE,RAPGEF6
MITOTIC_SPINDLE,RAPGEF6
UNFOLDED_PROTEIN_RESPONSE,KIF5B
G2M_CHECKPOINT,KIF5B
MITOTIC_SPINDLE,KIF5B
MITOTIC_SPINDLE,CLIP2
MITOTIC_SPINDLE,ARF6
MITOTIC_SPINDLE,SHROOM1
MITOTIC_SPINDLE,CDC42EP4
MITOTIC_SPINDLE,SORBS2
MITOTIC_SPINDLE,SASS6
MITOTIC_SPINDLE,FGD4
ALLOGRAFT_REJECTION,ABI1
INFLAMMATORY_RESPONSE,ABI1
MITOTIC_SPINDLE,ABI1
G2M_CHECKPOINT,KIF22
MITOTIC_SPINDLE,KIF22
E2F_TARGETS,KIF22
MITOTIC_SPINDLE,KIF1B
PROTEIN_SECRETION,KIF1B
INFLAMMATORY_RESPONSE,KIF1B
MITOTIC_SPINDLE,STK38L
MITOTIC_SPINDLE,ARHGEF11
MITOTIC_SPINDLE,CEP131
MITOTIC_SPINDLE,DYNC1H1
MITOTIC_SPINDLE,RANBP9
APICAL_JUNCTION,MYH10
MITOTIC_SPINDLE,MYH10
MITOTIC_SPINDLE,WASF2
MITOTIC_SPINDLE,TUBGCP3
MITOTIC_SPINDLE,SPTBN1
TGF_BETA_SIGNALING,SPTBN1
UV_RESPONSE_DN,CDC42BPA
MITOTIC_SPINDLE,CDC42BPA
G2M_CHECKPOINT,KIF11
